sentence,subject,verb,object
"In a large bowl, beat eggs until foamy.",,beat,egg
A suicide bomber blew up his sport-utility vehicle in the middle of a village volleyball game.,bomber,blow,vehicle
"Amidst all of that commotion, my wife’s car broke down while she was out getting us pizza.",car,break,
Her son broke my window.,son,break,window
It is imperative that you bring your own food.,,bring,food
I love that these candles burn clean!,candle,burn,
Fireworks burst over the stadium and lit the night sky.,firework,burst,
The Army started burying soldiers along the northern border of the Arlington estate.,army,bury,soldier
Ships typically carry up to 12 passengers in comfortable single or double cabins.,ship,carry,passenger
"We each caught another salmon that day, too.",,catch,salmon
"Clean a carpet stain immediately, even if you can't see it.",,clean,stain
They climb the stairs to the top of the dam,,climb,stairs
The police closed the main exit road.,police,close,road
Jim closed the book.,Jim,close,book
A bridge had collapsed due to the rains.,bridge,collapse,
Some reviewers have complained about the smell.,reviewer,complain,
By this time the young boy was crying.,boy,cry,
I used to cut grass on a golf course when I was in college.,,cut,grass
The judges decide on the winner of the category.,judge,decide,
The protesters demanded the release of the jailed students.,protester,demand,
Her father died when she was very young.,father,die,
I found them while the workmen were digging this pond.,workman,dig,pond
He dragged his suitcase up the stairs of the inn.,,drag,suitcase
Some brides dream of an elegant formal ceremony in a huge castle.,bride,dream,
Most informants agreed that camels drink more water in the winter than in the summer.,camel,drink,water
The driver was driving on the wrong side of the road and did not see Joshua.,driver,drive,
This paint dries fast!,paint,dry,
If you don’t eat breakfast and you’re tired by 9 am.,,eat,breakfast
Passing through the hallway visitors enter into the dining room.,visitor,enter,room
"A couple of prisoners have escaped from the jail near Reykjavik, Iceland.",prisoner,escape,
All the leaves had fallen from the trees.,leaf,fall,
The farmer arrived to feed the cows.,,feed,cow
You will be able to fill the water bottle at a fountain.,,fill,bottle
Yesterday lava flowed 90 meters wide as far out as a hundred meters from the shoreline.,lava,flow,
"Contra planes flew north to the U.S., loaded with cocaine.",plane,fly,
A man went to a city.,man,go,city
She grabbed a towel and wrapped it around her head.,,grab,towel
"And then my dad had a garden, so he grew vegetables.",,grow,vegetables
A week later we handed the keys to our old apartment to our landlord.,,hand,key
I remember my head hit the ground.,head,hit,ground
As soon as I lie down my stomach hurts again.,stomach,hurt,
Now the fish are jumping out of the pond right into my net!,fish,jump,
"To score this point, a kicker must kick the football through the goal posts.",kicker,kick,football
"In July, a suicide bomber killed three people including the top justice official in the region.",bomber,kill,person
How do you feel when a salesman knocks at your door when you're hurriedly getting ready for the office?,salesman,knock,door
The helicopter landed in the snow.,helicopter,land,
Iran plans to launch an additional satellite.,Iran,launch,satellite
The couple laid a wreath at the Tomb of the Unknown Soldier.,couple,lay,wreath
"I shouted to the driver, who was leaning his head out the window.",,lean,head
The pharmacist leaned forward and said he understood.,pharmacist,lean,
These muscles are used to help lift your legs.,,lift,leg
"If my children lived nearby, I would be babysitting.",child,live,
People love to be asked about what they’re working on.,person,love,
My daughter has married an Indian man and we attended the traditional Hindu wedding.,daughter,marry,man
I met a girl who claimed she was in the circus.,,meet,girl
The object then moved slowly away.,object,move,
The man nodded his approval and walked around to me.,man,nod,approval
"Miranda opened her mouth to reply, but no words came out.",Miranda,open,mouth
Note that the antennas are pointing in different directions.,antena,point,
The horse pulled his head away and lipped the man's nose.,horse,pull,head
The steam pushed the piston up and down.,steam,push,piston
"At Pitzer College on Wednesday night, nearly 150 students raised their hands.",student,raise,hand
What can you do if the landlord refuses to make repairs to the premises?,landlord,refuse,
A pair of cowboys rode into town.,cowboy,ride,
Columns of smoke rose from fires burning out of control.,column,rise,
The tears rolled down the poor child's face.,tear,roll,
I rarely have a chance to see my horses run.,horse,run,
Reporters rushed to the scene.,reporter,rush,
The doctor said it would heal fine that way.,doctor,say,
The crowd screamed and sang along as usual.,crowd,scream,
Hawaii of course was settled by Polynesian immigrants from Tahiti about one thousand years ago.,immigrant,settle,Hawaii
The young man shook his head.,man,shake,head
He just shrugged his shoulders.,,shrug,shoulder
The ship was sunk by a Soviet submarine.,submarine,sink,ship
His cat was now sitting expectantly upon his feet.,cat,sit,
Most babies sleep primarily in their parent’s room for months.,baby,sleep,
The top right-hand drawer slid open at a touch.,drawer,slide,
Theo's foot slipped on the slick stone.,foot,slip,
Dean slips his own knife into the sheath in the back of his pants,Dean,slip,knife
Frodo smiled amid his tears.,Frodo,smile,
Use a small brush to spread glue on the egg.,,spread,glue
"For a while, the headless statue stood in the front yard of a neighboring home.",statue,stand,
Frodo stared at the stone in his palm for a few moments.,Frodo,stare,
The thief stole the photo from the museum in Prague.,thief,steal,photo
The engineer stole Boeing trade secrets.,engineer,steal,secret
Blair stepped out of the car to meet him.,Blair,step,
Beth turned her head and stuck her tongue at me.,Beth,stick,tongue
Frank stretched his arm out across the length of the back of the bench.,Frank,stretch,arm
Some women suffer no pain at all.,woman,suffer,pain
The bar supports the full weight of the person.,bar,support,weight
Can humans survive without water?,human,survive,
The old man was sweeping the floor.,man,sweep,floor
There were over a dozen whale sharks swimming around us.,shark,swim,
Have you ever seen a politician talking to a rich person on TV?,politician,talk,
Older patients may tear the rotator cuff during the dislocation.,patient,tear,cuff
"Scientists think they have discovered the first liquid sea outside of Earth on Saturn's largest moon, Titan.",scientist,think,
Lebanese throw rocks at Israeli soldiers.,Lebanese,throw,rock
Then you can also tie a ribbon around the card to make it look pretty.,,tie,ribbon
The longer of the two ladders is not touching the ground.,ladder,touch,ground
"All passengers travel in cabins, and all cabins have a private shower & toilet.",passenger,travel,
Jim turned and walked into the waiting room.,Jim,turn,
"One morning at daybreak, thunder woke him.",thunder,wake,
Misha walks his dogs in the park.,Misha,walk,dog
Pedestrians walk between cafes and other small businesses.,pedestrian,walk,
We always wear helmets when we are riding bikes.,,wear,helmet
Today volunteers welcome visitors and groups of all sizes.,volunteer,welcome,visitor
