Text,Letter,Alliteration
The gentle giant jumped in jubilation.,g-j,gentle-giant-jumped-jubilation
Juggling jack o'lanterns is my job.,j,juggling-jack-job
He jabbed the javelin into the jail cell.,j,jabbed-javelin-jail
Jellyfish have germs and jarring toxins.,j,jellyfish-germs-jarring
The gym was jammed with jelly jars and junk.,j,gym-jammed-jelly-jars-junk
"Whenever he lied, he lisped a little.",l,lied-lisped-little
The lion licked his lips.,l,lion-licked-lips
"Feeling rather lazy, he laid low in the lounge.",l,lazy-laid-low-lounge
We lamented the Lord’s lost labor.,l,lamented-lord's-lost-labor
Her love languished in the limelight.,l,love-languished-limelight
Menacing sounds of mashing metal machines emanated from the mines.,m,menacing-mashing-metal-machines-mines
All of the millionaire's money only made him more melancholy.,m,millionaire's-money-made-more-melancholy
My mother makes a mouthwatering mincemeat pie.,m,my-mother-makes-mouthwatering-mince
There are madmen in the middle of those mountains.,m,madmen-middle-mountains
Most monsters don’t mind making messes.,m,most-monsters-mind-making-messes
My neighbors are not normally noisy.,n,neighbors-not-normally-noisy
I knew that she’d be a natural at kneading the noodle dough.,n-k,knew-natural-kneading-noodle
The ninjas gnashed their knives and nailed their targets.,n-g-k,ninjas-gnashed-knives-nailed
The newt nuzzled in a narrow nook.,n,newt-nuzzled-narrow-nook
Mom nabbed her niece by the nape of her neck.,n,nabbed-niece-nape-neck
The prince pressed the royal seal on the purple parchment.,p,prince-pressed-purple-parchment
A paper plane passed over my head.,p,paper-plane-passed
The parrot perched upon the pirate's peacoat.,p,parrot-perched-pirate's-peacoat
Sue went to the party and pretended that she was people person.,p,party-pretended-people-person
The girls played patty-cake on the park bench.,p,played-patty-cake-park
The red roses were wrapped in ribbons.,r,red-roses-wrapped-ribbons
She rarely reads; she’d rather write her own books.,r,rarely-reads-rather-write
A radar ring rippled across the monitor.,r,radar-ring-rippled
Those ravenous research rabbits have gone rabid!,r,ravenous-research-rabbits-rabid
The reporter wrote about the rebel raid.,r,reporter-wrote-rebel-raid
The snake slithered across the sandy seaside.,s,snake-slithered-sandy-seaside
My sassy sister slapped the villain silly.,s,sassy-sister-slapped-silly
That's the sound of someone sipping soup for supper.,s,sound-someone-sipping-soup-supper
She sniffed and smelled sage and sassafras.,s,sniffed-smelled-sage-sassafras
"Seeking sanctuary, they formed a circle of spears.",s,seeking-sanctuary-circle-spears
She should share her sherbert with her sister.,s,she-should-share-sherbert
A shard of shrapnel shaved her shoulder blade.,s,shard-shrapnel-shaved-shoulder
The sheep were schlepping shyly by the shark tank.,s,sheep-schlepping-shyly-shark
He found a shell that even shimmered in the shade.,s,shell-shimmered-shade
The sheriff wore a shiny star shaped shield.,s,sheriff-shiny-shapd-shield
The store clerk stood and stared at me in stupor.,s,store-stood-stared-stupor
She stuck the stolen stapler in her suitcase.,s,stuck-stolen-stapler
The students threw stones through the stained glass steeple.,s,students-stones-stained-steeple
Everything rested on the strength of the steel structure.,s,strength-steel-structure
Stern winds strew still waters.,s,stern-strew-still
The teacher took the troublemakers' toys.,t,teacher-took-troublemakers'-toys
They trounced us in the tried and true tradition.,t,trounced-tried-true-tradition
The tattle-tale tried to tell the teacher.,t,tattle-tale-tried-tell-teacher
Try the turkey tacos; they’re quite tasty.,t,try-turkey-tacos-tasty
The tornado tossed the trailer like a trash can.,t,tornado-tossed-trailer-trash
The vapid vixen vented her various vexations.,v,vapid-vixen-vented-various-vexations
Valiance is a virtue often vacant from these vermin.,v,valiance-virtue-vacant-vermin
We viewed the verdant valleys vaunted vegetation.,v,viewed-verdant-valleys-vaunted-vegetation
The ventriloquist varied his voice vociferously.,v,ventriloquist-varied-voice-vociferously
Her views on vices were vaguely veiled at best.,v,views-vices-vaguely-veiled
The wind was whistling through the weeping willows.,w,wind-whistling-weeping-willows
Construction workers whistled at the women.,w,workers-whistled-women
We welcomed all the wise men from the West.,w,we-welcomed-wise-west
Don't wage a war of words against the world.,w,wage-war-words-world
The waffles worsened while the waiter waited.,w,waffles-worsened-while-waiter-waited
In her youth she yearned to wander yonder Europe.,y,youth-yearned-yonder-europe
I'm used to yelling at you yellowbellies.,y,used-yelling-you-yellowbellies
Your usefulness was used up yesterday.,y,your-usefulness-used-yesterday
My zodiac was zooming toward the zenith.,z,zodiac-zooming-zenith
The xanthous xenophobes were overzealous.,x,xanthous-xenophobes
The player zipped by the zonal defense and zeroed in on the end zone.,z,zipped-zonal-zeroed-zone
